"STATISTIC","Year","Sex","UNIT","VALUE"
"Births by Occurrence","2014","Female","Number","32614"
"Births by Occurrence","2015","Both sexes","Number","65536"
"Births by Occurrence","2015","Male","Number","33480"
"Births by Occurrence","2015","Female","Number","32056"
"Births by Occurrence","2016","Both sexes","Number","63841"
"Births by Occurrence","2016","Male","Number","32709"
"Births by Occurrence","2016","Female","Number","31132"
"Births by Occurrence","2017","Both sexes","Number","61824"
"Births by Occurrence","2017","Male","Number","31779"
"Births by Occurrence","2017","Female","Number","30045"
"Births by Occurrence","2018","Both sexes","Number","61022"
"Births by Occurrence","2018","Male","Number","31306"
"Births by Occurrence","2018","Female","Number","29716"
"Births by Occurrence","2019","Both sexes","Number","59294"
"Births by Occurrence","2019","Male","Number","30271"
"Births by Occurrence","2019","Female","Number","29023"
"Births by Occurrence","2020","Both sexes","Number","55959"
"Births by Occurrence","2020","Male","Number","28902"
"Births by Occurrence","2020","Female","Number","27057"
"Births by Occurrence","2021","Both sexes","Number","58443"
"Births by Occurrence","2021","Male","Number","29823"
"Births by Occurrence","2021","Female","Number","28620"
